,name,mean,std,median,min,max
121,Alian?a,,,,,
122,Alian?a do Tocantins,-0.14529183506965637,0.0646761953830719,-0.15948954224586487,-0.2164447158575058,-0.05994123965501785
123,Almadina,,,,,
124,Almas,0.462273508310318,0.13473115861415863,0.4459916949272156,0.2861710488796234,0.6986836791038513
125,Almeirim,0.375252366065979,0.3932018280029297,0.3582480549812317,-1.1034082174301147,1.1980732679367065
126,Almenara,0.5005082488059998,0.28400900959968567,0.5005082488059998,0.21649925410747528,0.7845172882080078
127,Almino Afonso,,,,,
128,Almirante Tamandar?,,,,,
129,Almirante Tamandar? do Sul,,,,,
130,Alo?ndia,,,,,
131,Alpercata,1.4646621942520142,0.0,1.4646621942520142,1.4646621942520142,1.4646621942520142
132,Alpestre,0.5949559807777405,0.0,0.5949559807777405,0.5949559807777405,0.5949559807777405
133,Alpin?polis,,,,,
134,Alt?nia,,,,,
135,Alta Floresta,0.0257662795484066,0.3092401325702667,0.013570325449109077,-0.42780399322509766,0.67472904920578
136,Alta Floresta D'Oeste,-1.0353952646255493,0.3259853422641754,-0.9559963941574097,-1.628199815750122,-0.6730188131332397
137,Altair,,,,,
138,Altamira,0.05667582154273987,0.38299521803855896,0.05953804403543472,-0.7278955578804016,1.7605388164520264
139,Altamira do Maranh?o,-1.6838393211364746,0.0,-1.6838393211364746,-1.6838393211364746,-1.6838393211364746
140,Altamira do Paran?,-0.2951183319091797,0.0,-0.2951183319091797,-0.2951183319091797,-0.2951183319091797
141,Altaneira,0.07351294159889221,0.0,0.07351294159889221,0.07351294159889221,0.07351294159889221
142,Alterosa,-0.6792719960212708,0.0,-0.6792719960212708,-0.6792719960212708,-0.6792719960212708
143,Altin?polis,-1.1514705419540405,0.0,-1.1514705419540405,-1.1514705419540405,-1.1514705419540405
144,Altinho,0.2637619376182556,0.0,0.2637619376182556,0.2637619376182556,0.2637619376182556
145,Alto Alegre,-0.13457775115966797,0.7239580750465393,0.22912387549877167,-2.6429548263549805,0.7010157108306885
146,Alto Alegre do Maranh?o,,,,,
147,Alto Alegre do Pindar?,-1.0116580724716187,0.1636991649866104,-1.0862692594528198,-1.164144515991211,-0.78456050157547
148,Alto Alegre dos Parecis,-1.4086233377456665,0.3303874135017395,-1.3304935693740845,-2.0304718017578125,-0.9487858414649963
149,Alto Araguaia,-0.20680277049541473,0.06828686594963074,-0.1737012416124344,-0.31152451038360596,-0.12970750033855438
150,Alto Bela Vista,,,,,
151,Alto Boa Vista,-0.12680739164352417,0.05498017370700836,-0.12680739164352417,-0.18178756535053253,-0.07182721793651581
152,Alto Capara?,,,,,
153,Alto Feliz,,,,,
154,Alto Gar?as,0.08647453039884567,0.12400930374860764,0.14067506790161133,-0.08507014065980911,0.2038186639547348
155,Alto Horizonte,,,,,
156,Alto Jequitib?,,,,,
157,Alto Long?,-0.20015724003314972,0.049428220838308334,-0.19899295270442963,-0.2612679600715637,-0.1402108371257782
158,Alto Para?so,0.21632854640483856,0.1455487161874771,0.24924644827842712,0.0037738378159701824,0.3630474805831909
159,Alto Para?so de Goi?s,-0.497895747423172,0.11371546238660812,-0.4705650210380554,-0.679659366607666,-0.3707936108112335
160,Alto Paraguai,0.48400139808654785,0.10500345379114151,0.46555107831954956,0.3613480031490326,0.6435554027557373
161,Alto Paran?,,,,,
162,Alto Parna?ba,0.4316997230052948,0.15713214874267578,0.44894373416900635,0.09046247601509094,0.723285973072052
163,Alto Piquiri,,,,,
164,Alto Rio Doce,-0.2122517228126526,0.38950085639953613,-0.2122517228126526,-0.6017525792121887,0.17724913358688354
165,Alto Rio Novo,0.36856144666671753,0.0,0.36856144666671753,0.36856144666671753,0.36856144666671753
166,Alto Santo,0.3663037121295929,0.3286904990673065,0.3663037121295929,0.03761322423815727,0.6949942111968994
167,Alto Taquari,-0.6972887516021729,0.2690295875072479,-0.5083171725273132,-1.0777512788772583,-0.5057978630065918
168,Alto do Rodrigues,,,,,
169,Altos,0.04094276577234268,0.0,0.04094276577234268,0.04094276577234268,0.04094276577234268
170,Alum?nio,,,,,
171,Alvar?es,1.675765872001648,0.541660487651825,1.592763900756836,1.0569555759429932,2.576486349105835
172,Alvarenga,1.0822056531906128,0.0,1.0822056531906128,1.0822056531906128,1.0822056531906128
