date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
2010-12-01T00:00:00,TPCP,GHCND:BR000082861,2031,0,0,Brazil,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BR000352000,1678,0,0,Brazil,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BR000956000,3866,0,0,Brazil,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BR002143012,4755,0,0,Brazil,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BR00E3-0520,2244,0,0,Brazil,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BR037041370,1343,0,0,Brazil,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BR038484280,376,0,0,Brazil,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BR038837530,178,0,0,Brazil,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BRM00082193,1246,0,0,Brazil,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BRM00082361,2455,0,0,Brazil,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BRM00083208,2390,0,0,Brazil,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BRM00083566,2058,0,0,Brazil,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BRM00083827,2984,0,0,Brazil,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BR000082400,1016,0,0,Brazil,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BR000082861,1648,0,0,Brazil,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BR000352000,4086,0,0,Brazil,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BR000956000,4001,0,0,Brazil,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BR002143012,3242,0,0,Brazil,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BR00E3-0520,3533,0,0,Brazil,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BR037041370,1573,0,0,Brazil,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BR038484280,500,0,0,Brazil,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BRM00082193,2493,0,0,Brazil,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BRM00082361,2980,0,0,Brazil,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BRM00083208,3334,0,0,Brazil,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BRM00083566,567,0,0,Brazil,TPCP
2011-01-01T00:00:00,TPCP,GHCND:BRM00083827,1593,0,0,Brazil,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BR000082400,1052,0,0,Brazil,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BR000082861,1897,0,0,Brazil,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BR000352000,3091,0,0,Brazil,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BR000956000,4231,0,0,Brazil,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BR002143012,531,0,0,Brazil,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BR00E3-0520,2360,0,0,Brazil,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BR037041370,1668,0,0,Brazil,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BR038484280,1295,0,0,Brazil,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BRM00082193,2015,0,0,Brazil,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BRM00082361,2633,0,0,Brazil,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BRM00083208,2757,0,0,Brazil,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BRM00083566,276,0,0,Brazil,TPCP
2011-02-01T00:00:00,TPCP,GHCND:BRM00083827,804,0,0,Brazil,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BR000082400,1185,0,0,Brazil,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BR000082861,3063,0,0,Brazil,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BR000352000,2761,0,0,Brazil,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BR000956000,3056,0,0,Brazil,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BR002143012,3292,0,0,Brazil,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BR00E3-0520,701,0,0,Brazil,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BR037041370,2701,0,0,Brazil,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BR038484280,1249,0,0,Brazil,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BR038983570,10,0,0,Brazil,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BRM00082193,3232,0,0,Brazil,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BRM00082361,3210,0,0,Brazil,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BRM00083208,2953,0,0,Brazil,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BRM00083566,2634,0,0,Brazil,TPCP
2011-03-01T00:00:00,TPCP,GHCND:BRM00083827,133,0,0,Brazil,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BR000082400,2593,0,0,Brazil,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BR000082861,2272,0,0,Brazil,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BR000352000,4033,0,0,Brazil,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BR000956000,2510,0,0,Brazil,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BR002143012,1522,0,0,Brazil,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BR00E3-0520,954,0,0,Brazil,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BR037041370,3114,0,0,Brazil,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BR038484280,1846,0,0,Brazil,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BRM00082193,2792,0,0,Brazil,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BRM00082361,3598,0,0,Brazil,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BRM00083208,1119,0,0,Brazil,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BRM00083566,110,0,0,Brazil,TPCP
2011-04-01T00:00:00,TPCP,GHCND:BRM00083827,882,0,0,Brazil,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BR000082400,1884,0,0,Brazil,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BR000082861,819,0,0,Brazil,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BR000352000,2242,0,0,Brazil,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BR000956000,656,0,0,Brazil,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BR002143012,122,0,0,Brazil,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BR00E3-0520,173,0,0,Brazil,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BR037041370,2228,0,0,Brazil,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BR038484280,3358,0,0,Brazil,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BR038837530,424,0,0,Brazil,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BR038983570,561,0,0,Brazil,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BRM00082193,1677,0,0,Brazil,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BRM00082361,3719,0,0,Brazil,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BRM00083208,30,0,0,Brazil,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BRM00083566,61,0,0,Brazil,TPCP
2011-05-01T00:00:00,TPCP,GHCND:BRM00083827,31,0,0,Brazil,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BR000082400,1975,0,0,Brazil,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BR000082861,0,0,0,Brazil,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BR000352000,798,0,0,Brazil,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BR000956000,0,0,0,Brazil,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BR002143012,170,0,0,Brazil,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BR00E3-0520,516,0,0,Brazil,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BR037041370,1590,0,0,Brazil,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BR038484280,1278,0,0,Brazil,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BR038837530,31,0,0,Brazil,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BRM00082193,1608,0,0,Brazil,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BRM00082361,1179,0,0,Brazil,TPCP
2011-06-01T00:00:00,TPCP,GHCND:BRM00083208,10,0,0,Brazil,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BR000082400,1209,0,0,Brazil,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BR000352000,238,0,0,Brazil,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BR002143012,30,0,0,Brazil,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BR00E3-0520,33,0,0,Brazil,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BR037041370,204,0,0,Brazil,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BR038484280,2070,0,0,Brazil,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BR038837530,289,0,0,Brazil,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BR038983570,30,0,0,Brazil,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BRM00082193,1009,0,0,Brazil,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BRM00082361,193,0,0,Brazil,TPCP
2011-07-01T00:00:00,TPCP,GHCND:BRM00083208,0,0,0,Brazil,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BR000082400,874,0,0,Brazil,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BR000082861,119,0,0,Brazil,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BR000352000,386,0,0,Brazil,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BR000956000,229,0,0,Brazil,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BR002143012,91,0,0,Brazil,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BR00E3-0520,562,0,0,Brazil,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BR037041370,185,0,0,Brazil,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BR038484280,1064,0,0,Brazil,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BR038837530,203,0,0,Brazil,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BR038983570,170,0,0,Brazil,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BRM00082193,1003,0,0,Brazil,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BRM00082361,211,0,0,Brazil,TPCP
2011-08-01T00:00:00,TPCP,GHCND:BRM00083208,650,0,0,Brazil,TPCP
